species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
ecoli	pa	20	1	5.6794	232.31	compute-e-16-185.o2.rc.hms.harvard.edu	5.64	247.18
ecoli	pa	21	1	6.5606	241.42	compute-e-16-184.o2.rc.hms.harvard.edu	6.52	245.28
ecoli	pa	22	1	5.5724	243.38	compute-e-16-193.o2.rc.hms.harvard.edu	5.54	247.292
ecoli	pa	23	1	5.1184	241.58	compute-e-16-180.o2.rc.hms.harvard.edu	5.08	245.448
ecoli	pa	24	1	5.2842	241.58	compute-f-17-13.o2.rc.hms.harvard.edu	5.24	245.448
ecoli	pa	25	1	6.6077	241.57	compute-e-16-180.o2.rc.hms.harvard.edu	6.57	245.436
ecoli	pa	26	1	6.1267	232.96	compute-f-17-12.o2.rc.hms.harvard.edu	6.09	245.448
ecoli	pa	27	1	6.1246	241.39	compute-e-16-242.o2.rc.hms.harvard.edu	6.09	245.256
ecoli	pa	28	1	7.3798	241.51	compute-e-16-186.o2.rc.hms.harvard.edu	7.34	245.384
ecoli	pa	29	1	6.1378	243.02	compute-e-16-193.o2.rc.hms.harvard.edu	6.1	246.916
ecoli	pa	30	1	6.5149	241.52	compute-a-17-68.o2.rc.hms.harvard.edu	6.46	245.388
ecoli	pa	31	1	6.2722	233.09	compute-f-17-12.o2.rc.hms.harvard.edu	6.23	245.448
ecoli	pa	32	1	6.0927	241.41	compute-e-16-241.o2.rc.hms.harvard.edu	6.05	245.448
hg38	bc	11	1	2925.8079	6454.14	compute-a-17-65.o2.rc.hms.harvard.edu	2925.3	6605.692
hg38	bc	12	1	3612.5319	6440.60	compute-a-16-46.o2.rc.hms.harvard.edu	3610	6591.996
hg38	bc	13	1	5123.7232	6442.69	compute-a-16-38.o2.rc.hms.harvard.edu	5116	6593.988
hg38	bc	14	1	10814.6084	6442.72	compute-a-16-37.o2.rc.hms.harvard.edu	10759	6593.964
hg38	bc	15	1	25919.6254	13793.15	compute-a-16-129.o2.rc.hms.harvard.edu	25342	15331.184
hg38	bc	16	1	52420.3788	26001.30	compute-a-17-81.o2.rc.hms.harvard.edu	52164	31160.328
hg38	bc	17	1	82977.823	40454.72	compute-a-16-45.o2.rc.hms.harvard.edu	82724	42610.456
hg38	bc	18	1	78008.5167	42934.93	compute-f-17-20.o2.rc.hms.harvard.edu	77317	49478.552
hg38	bc	19	1	108458.1331	46104.74	compute-a-17-107.o2.rc.hms.harvard.edu	108218	51168.7
hg38	bc	20	1	69208.8747	50938.05	compute-e-16-250.o2.rc.hms.harvard.edu	69153	52269.784
hg38	bc	21	1	69794.7745	49527.96	compute-a-16-72.o2.rc.hms.harvard.edu	69764	52880.596
hg38	bc	22	1	62425.4004	47857.79	compute-f-17-19.o2.rc.hms.harvard.edu	62362	53326.004
hg38	bc	23	1	75911.997	52200.92	compute-a-16-153.o2.rc.hms.harvard.edu	75898	53681.704
hg38	bc	24	1	70630.1129	51449.13	compute-a-16-153.o2.rc.hms.harvard.edu	70617	54000.708
hg38	bc	25	1	70355.0934	50783.20	compute-a-17-131.o2.rc.hms.harvard.edu	70344	54282.908
hg38	bc	26	1	71224.7753	49101.30	compute-a-17-117.o2.rc.hms.harvard.edu	71213	54538.544
hg38	bc	27	1	72612.0336	48384.45	compute-a-16-135.o2.rc.hms.harvard.edu	72600	54774.412
hg38	bc	28	1	71469.7395	50880.75	compute-a-16-71.o2.rc.hms.harvard.edu	71458	54989.304
hg38	bc	29	1	77725.0441	53149.16	compute-a-17-105.o2.rc.hms.harvard.edu	77714	55195.556
hg38	bc	30	1	58555.5955	53528.02	compute-e-16-251.o2.rc.hms.harvard.edu	58545	55377.072
hg38	bc	31	1	72075.9872	49653.17	compute-a-17-71.o2.rc.hms.harvard.edu	72066	55544.452
hg38	bc	32	1	94833.4313	33941.20	compute-e-16-212.o2.rc.hms.harvard.edu	94824	35494.476
hg38	bc	11	4	2610.827	6442.26	compute-e-16-183.o2.rc.hms.harvard.edu	2610.04	6605.864
hg38	bc	12	4	2748.3322	6453.20	compute-e-16-188.o2.rc.hms.harvard.edu	2746.24	6604.924
hg38	bc	13	4	4184.5639	6453.68	compute-a-16-148.o2.rc.hms.harvard.edu	4167	6605.18
hg38	bc	14	4	7584.3333	6438.69	compute-a-17-134.o2.rc.hms.harvard.edu	7534	6590.408
hg38	bc	15	4	16520.9074	6439.05	compute-a-17-103.o2.rc.hms.harvard.edu	16426	7166.884
hg38	bc	16	4	30254.2167	8280.94	compute-e-16-184.o2.rc.hms.harvard.edu	30030	10563.304
hg38	bc	17	4	50392.3878	13277.48	compute-a-16-95.o2.rc.hms.harvard.edu	50109	13592.772
hg38	bc	18	4	51254.0479	13267.03	compute-a-17-76.o2.rc.hms.harvard.edu	51021	13582.144
hg38	bc	19	4	38513.3935	9343.68	compute-h-17-54.o2.rc.hms.harvard.edu	38401	9564.556
hg38	bc	20	4	25480.92	8453.95	compute-e-16-181.o2.rc.hms.harvard.edu	25386	13713.924
hg38	bc	21	4	27317.4381	10025.54	compute-a-17-90.o2.rc.hms.harvard.edu	27265	11159.072
hg38	bc	22	4	26131.1743	8681.11	compute-a-17-133.o2.rc.hms.harvard.edu	26106	12520.888
hg38	bc	23	4	22407.3326	8600.12	compute-e-16-239.o2.rc.hms.harvard.edu	22394	13033.028
hg38	bc	24	4	22830.5856	9264.37	compute-e-16-193.o2.rc.hms.harvard.edu	22818	12106.712
hg38	bc	25	4	20186.7192	10259.52	compute-e-16-188.o2.rc.hms.harvard.edu	20175	13529.228
hg38	bc	26	4	22268.0477	11884.83	compute-e-16-243.o2.rc.hms.harvard.edu	22258	12268.816
hg38	bc	27	4	23269.973	11430.70	compute-h-17-55.o2.rc.hms.harvard.edu	23257	12148.448
hg38	bc	28	4	24420.8858	8554.91	compute-a-17-78.o2.rc.hms.harvard.edu	24404	11468.18
hg38	bc	29	4	23037.6944	8441.09	compute-f-17-14.o2.rc.hms.harvard.edu	22997	12347.916
hg38	bc	30	4	23462.1056	10825.36	compute-a-16-98.o2.rc.hms.harvard.edu	23453	11829.66
hg38	bc	31	4	23989.0262	8500.38	compute-a-16-89.o2.rc.hms.harvard.edu	23979	10683.064
hg38	bc	32	4	34147.8397	10248.39	compute-e-16-189.o2.rc.hms.harvard.edu	34138	10491.236
hg38	pa	11	1	747.0795	322.48	compute-e-16-186.o2.rc.hms.harvard.edu	747.02	328.288
hg38	pa	12	1	959.8089	564.21	compute-a-16-95.o2.rc.hms.harvard.edu	959.75	575.828
hg38	pa	13	1	1191.6863	1507.24	compute-h-17-50.o2.rc.hms.harvard.edu	1191.63	1541.636
hg38	pa	14	1	1422.8334	4861.38	compute-e-16-242.o2.rc.hms.harvard.edu	1422.77	4977.912
hg38	pa	15	1	1846.7182	16625.27	compute-e-16-182.o2.rc.hms.harvard.edu	1846.63	17022.356
hg38	pa	16	1	2900.8276	34208.82	compute-e-16-242.o2.rc.hms.harvard.edu	2900.77	35075.696
